JURIS NAME	FACILITY NAME	SEGMENT FROM	SEGMENT TO	DIR	WEEKDAY TRAFFIC VOLUMES																		2012 SPEED AND CONGESTION DATA											
					2007			2008			2009			2010			2011			2012			AM PEAK HOUR						PM PEAK HOUR					
					VOLUME	COUNT DATE & SOURCE		VOLUME	COUNT DATE & SOURCE		VOLUME	COUNT DATE & SOURCE		VOLUME	COUNT DATE & SOURCE		VOLUME	COUNT DATE & SOURCE		VOLUME	COUNT DATE & SOURCE		SPEED (mph)		TRAVEL TIME INDEX		CONGESTION LEVEL		SPEED (mph)		TRAVEL TIME INDEX		CONGESTION LEVEL	
																							NB/EB	SB/WB	NB/EB	SB/WB	NB/EB	SB/WB	NB/EB	SB/WB	NB/EB	SB/WB	NB/EB	SB/WB
CHES	22ND ST	LIBERTY ST	BERKLEY AVE/NORFOLK CL														"5,590"	7/20	V				20	26	1.23	1.04	LOW	LOW	21	25	1.17	1.10	LOW	LOW
CHES	AIRLINE BLVD	I-664	JOLLIFF RD								"10,891"	5/6 - 5/7	V							"10,110"	7/17	V	34	39	1.12	1.13	LOW	LOW	33	40	1.13	1.12	LOW	LOW
CHES	AIRLINE BLVD	JOLLIFF RD	PORTSMOUTH CL					"7,801"	12/10 - 12/18	V							"6,909"	7/20 - 7/21	V				34	39	1.12	1.13	LOW	LOW	33	40	1.13	1.12	LOW	LOW
CHES	ATLANTIC AVE	CAMPOSTELLA RD	PROVIDENCE RD					"16,154"	6/3 - 6/4	V							"15,095"	6/8 - 6/9	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	ATLANTIC AVE	PROVIDENCE RD	OLD ATLANTIC AVE					"18,187"	Wkdy average	V	"17,770"	Wkdy average	V	"18,046"	Wkdy average	V	"17,228"	Wkdy average	V	"17,148"	Wkdy average	V	-	-	-	-	LOW		-	-	-	-	LOW	
CHES	ATLANTIC AVE	OLD ATLANTIC AVE	CAMPOSTELLA RD					"10,357"	9/3 - 9/4	V							"9,415"	6/8 - 6/9	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	BAINBRIDGE BLVD	DOMINION BLVD	GREAT BRIDGE BLVD					"5,184"	6/11 - 6/12	V							"4,492"	4/20 - 4/21	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	BAINBRIDGE BLVD	GREAT BRIDGE BLVD	MILITARY HWY					"9,353"	5/20 - 6/12	V							"9,420"	7/19 - 7/20	V				-	-	-	-	MOD		-	-	-	-	MOD	
CHES	BAINBRIDGE BLVD	MILITARY HWY	FREEMAN AVE					"12,022"	6/11 - 6/12	V							"12,984"	7/19 - 7/20	V				31	33	1.08	1.13	LOW	LOW	30	33	1.10	1.13	LOW	LOW
CHES	BAINBRIDGE BLVD	FREEMAN AVE	SWAIN AVE														"10,013"	7/19 - 7/20	V				31	30	1.05	1.05	LOW	LOW	30	30	1.09	1.06	LOW	LOW
CHES	BAINBRIDGE BLVD	SWAIN AVE	CHESAPEAKE DR														"10,013"	7/19 - 7/20	V				31	30	1.05	1.05	LOW	LOW	30	30	1.09	1.06	LOW	LOW
CHES	BAINBRIDGE BLVD	CHESAPEAKE DR	POINDEXTER ST					"8,984"	9/3 - 9/4	V													31	30	1.05	1.05	LOW	LOW	30	30	1.09	1.06	LOW	LOW
CHES	BAINBRIDGE BLVD	POINDEXTER ST	NORFOLK CL					"1,725"	11/18 - 11/19	V							"1,733"	5/11 - 5/12	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	BALLAHACK RD	GEORGE WASHINGTON HWY	OLD BATTLEFIELD BLVD					810	7/8 - 7/9	V							906	6/22 - 6/23	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	BATTLEFIELD BLVD	NORTH CAROLINA STATE LINE	BALLAHACK RD		"22,144"	Wkdy average	V	"21,331"	Wkdy average	V	"21,852"	Wkdy average	V	"22,239"	Wkdy average	V	"21,703"	Wkdy average	V	"21,977"	Wkdy average	V	52	52	1.04	1.05	LOW	LOW	51	52	1.08	1.05	LOW	LOW
CHES	BATTLEFIELD BLVD	BALLAHACK RD	GALLBUSH RD		"22,144"	Wkdy average	V	"21,331"	Wkdy average	V	"21,852"	Wkdy average	V	"22,239"	Wkdy average	V	"21,703"	Wkdy average	V	"21,977"	Wkdy average	V	50	46	1.11	1.12	LOW	LOW	48	47	1.17	1.11	LOW	LOW
CHES	BATTLEFIELD BLVD	GALLBUSH RD	INDIAN CREEK RD					"13,343"	7/29 - 7/30	V							"15,855"	5/25 - 5/26	V				50	49	1.10	1.09	LOW	LOW	50	50	1.10	1.09	LOW	LOW
CHES	BATTLEFIELD BLVD	INDIAN CREEK RD	CENTERVILLE TNPK					"16,804"	6/17 - 6/18	V							"19,716"	5/25 - 5/26	V				48	49	1.10	1.09	LOW	LOW	48	50	1.10	1.09	LOW	LOW
CHES	BATTLEFIELD BLVD	CENTERVILLE TNPK	HILLCREST PKWY					"16,377"	6/17 - 6/18	V							"22,502"	5/25 - 5/26	V				42	44	1.18	1.11	LOW	LOW	42	44	1.18	1.11	LOW	LOW
CHES	BATTLEFIELD BLVD	HILLCREST PKWY	PEACEFUL RD/HILLWELL RD					"9,224"	6/17 - 6/18	V							"7,863"	5/25 - 5/26	V				42	43	1.11	1.11	LOW	LOW	43	43	1.10	1.11	LOW	LOW
CHES	BATTLEFIELD BLVD	PEACEFUL RD/HILLWELL RD	HANBURY RD					"9,224"	6/17 - 6/18	V							"7,863"	5/25 - 5/26	V				42	43	1.11	1.11	LOW	LOW	43	43	1.10	1.11	LOW	LOW
CHES	BATTLEFIELD BLVD	HANBURY RD	JOHNSTOWN RD					"16,009"	6/17 - 6/18	V							"14,526"	5/25 - 5/26	V				31	28	1.18	1.12	LOW	LOW	32	25	1.16	1.25	LOW	MOD
CHES	BATTLEFIELD BLVD	JOHNSTOWN RD	CEDAR RD					"29,623"	6/17 - 6/18	V							"32,596"	5/25 - 5/26	V				28	28	1.13	1.12	LOW	LOW	24	25	1.36	1.25	MOD	MOD
CHES	BATTLEFIELD BLVD	CEDAR RD	GREAT BRIDGE BLVD/KEMPSVILLE RD					"35,831"	6/17 - 6/18	V							"36,545"	5/25 - 5/26	V				33	32	1.22	1.19	LOW	LOW	33	26	1.22	1.47	LOW	SEV
